name,screen_name,time_zone,location,verified,lang,description,description_en,created_at,favourites_count,followers_count,friends_count,statuses_count,listed_count,isBot
Ryan Maxwell,RyanMaxwell_1,Pacific Time (US & Canada),United States,FALSE,en,"Conservative. sports fan. Doing what I love, promoting Conservatism. #PJNET #TCOT #Conservative","Conservative. sports fan. Doing what I love, promoting Conservatism. #PJNET #TCOT #Conservative",Sun Sep 15 19:45:16 +0000 2013,1102,1839,1990,1853,25,1
Raven Nicholson,ravenicholson,Eastern Time (US & Canada),NYC,FALSE,en,Everybody deserves to know they too can be the hero of a story. I’m just a regular guy trying to put those heroes in stories,Everybody deserves to know they too can be the hero of a story. I’m just a regular guy trying to put those heroes in stories,Sat Sep 28 17:17:28 +0000 2013,2437,807,860,1645,10,1
Артур Буранов,ArturBuranof,Yerevan,"Москва, Россия",FALSE,ru,"Лучшее средство привить детям любовь к отечеству состоит в том, чтобы эта любовь была у отцов.",The best means to instill in children a love of country is this love fathers had.,Fri Dec 06 17:29:56 +0000 2013,615,405,1628,1350,1,1
Бучин Боря,Boryabuchin,Baku,"Москва, Россия",FALSE,ru,"Москва, как много в этом звуке Для сердца русского слилось, Как много в нем отозвалось!","Moscow, like many in this sound for the Russian heart merged how much it imparts!",Thu Mar 06 13:29:09 +0000 2014,1476,108,215,1357,1,1
Мистер Пудинг,Puddin_Leto,Moscow,,FALSE,ru,"Вы верите в дружбу, а я верю в шантаж.","Do you believe in friendship, and I believe in blackmail.",Wed Mar 12 07:09:51 +0000 2014,2264,81,85,1310,0,1
Артём Захаров,teZaharov,Volgograd,"Москва, Россия",FALSE,ru,"Высшая доблесть состоит в том, чтобы совершать в одиночестве то, на что люди отваживаются лишь в присутствии многих свидетелей.",The highest virtue is to perform alone what the people dare only in the presence of many witnesses.,Sun Mar 16 16:04:57 +0000 2014,406,2111,69,586,0,1
Валентина Дмитриева,Valeyina_Dm,Moscow,Мурманск,FALSE,ru,Против белоленточной чумы #ЯПатриотка,Belolentochnoy against plague # YaPatriotka,Tue Mar 18 11:53:29 +0000 2014,354,2466,811,1312,1,1
БогданКравцов,BogdanKravcov,Baku,Санкт-Петербург,FALSE,ru,Любовь к Отечеству - это готовность защищать его независимость.,Love for the Fatherland - a willingness to defend its independence.,Wed Mar 19 15:33:40 +0000 2014,908,2741,1564,1619,4,1
Алексей Лапин,_SashaLapin,Volgograd,,FALSE,ru,"У Пушкина есть грандиозная фраза...
Гордиться славою своих предков не только можно, но и должно. Не уважать оной есть постыдное малодушие","Pushkin has grand phrase ...
Pride in the glory of their ancestors is not only possible, but necessary. Not respect thereof has a shameful cowardice",Sat Apr 12 09:09:27 +0000 2014,345,2219,679,1237,4,1
Warfare Worldwide,WarfareWW,St. Petersburg,,FALSE,en,Political & Military Analyst,Political & Military Analyst,Mon Apr 14 17:32:56 +0000 2014,247,23876,7481,2618,565,1
Wade Harriot,wadeharriot,Eastern Time (US & Canada),USA,FALSE,en,"Christian, Husband, Father, American, Conservative, Tea Party, Fisherman, Gun Owner, Engineer, USN Vet #BodyLife #TCOT #TGDN #2A #TPFA #CruzCrew #PJNET","Christian, Husband, Father, American, Conservative, Tea Party, Fisherman, Gun Owner, Engineer, USN Vet #BodyLife #TCOT #TGDN #2A #TPFA #CruzCrew #PJNET",Mon May 12 07:50:03 +0000 2014,4478,1363,1040,3089,25,1
Jadon Hutchinson,JadonHutchinson,Eastern Time (US & Canada),USA,FALSE,en,"People often say that motivation doesn’t last. Well, neither does bathing. That’s why we recommend it daily.","People often say that motivation doesn’t last. Well, neither does bathing. That’s why we recommend it daily.",Tue May 13 13:09:48 +0000 2014,2831,888,1234,2139,28,1
Мария Котова,Kotovamarys,Volgograd,"Калининград, Россия",FALSE,ru,"Родина там, где чувствуешь себя свободно.",Homeland where you feel at ease.,Wed May 14 18:11:36 +0000 2014,990,4515,62,747,1,1
San Francisco Daily,DailySanFran,Pacific Time (US & Canada),"San Francisco, CA",FALSE,en,"Follow for San Francisco's breaking news, special reports, entertainment and more from @DailySanFran","Follow for San Francisco's breaking news, special reports, entertainment and more from @DailySanFran",Thu May 15 03:22:22 +0000 2014,1,16812,5128,32546,159,1
Jake Fischer,interFischer,Eastern Time (US & Canada),United States,FALSE,en,"I believe in God, Bible, Country, 2nd Amendment rights. I Stand by Israel, Supporter of TRADITIONAL Marriage
#RedNationRising","I believe in God, Bible, Country, 2nd Amendment rights. I Stand by Israel, Supporter of TRADITIONAL Marriage
#RedNationRising",Fri May 16 10:36:48 +0000 2014,494,1609,1828,1033,15,1
Таисия Авдеева,TaisiaAvdeeva,Volgograd,"Москва, Россия",FALSE,ru,"Сегодня я настоящая ватница: в ватнике, со сладкой ватой и только что от Соловьева",Today I present vatnitsa: in quilted jacket with cotton candy and just by Solovyov,Tue Apr 22 14:33:37 +0000 2014,2168,2535,279,937,1,1
Ольга Ильина,patriotka_rusi,Moscow,Москва,FALSE,ru,умная,clever,Wed Apr 23 14:33:08 +0000 2014,631,75,87,548,4,1
Руслан Рогов,russilanrogov,Volgograd,"Калуга, Россия",FALSE,ru,"Умом Россию не понять, Аршином общим не измерить: У ней особенная стать — В Россию можно только верить.","The mind can not understand Russia, yardstick can not be measured: She has become very special - In Russia one can only believe.",Sun Apr 27 11:14:41 +0000 2014,1644,4507,75,657,3,1
Невротик,rusnevrotik,Moscow,,FALSE,ru,,,Sun Apr 27 16:34:47 +0000 2014,2658,97,120,1912,1,1
Старая разведчица,razvedchica_,Volgograd,Я везде,FALSE,ru,"За Россию! Знаю много, говорю мало","For Russia! I know a lot, say little",Mon Apr 28 15:37:43 +0000 2014,1261,2360,549,1135,3,1
Вячеслав Пономарёв,ponomarevSlav,Moscow,"Москва, Россия",FALSE,ru,,,Sat May 03 07:34:27 +0000 2014,545,76,274,490,2,1
Виктория Борисова,ViBorisova,Volgograd,"Ярославль, Россия",FALSE,ru,"На первом месте должны быть родина и родители, потом дети и вся семья, а затем остальные родственники.","In the first place should be the birthplace of the parents, then the children and the whole family, then other relatives.",Sat May 03 08:41:33 +0000 2014,908,2513,189,594,0,1
Николай Черненко,ChernenkoNikola,Volgograd,Москва,FALSE,ru,"Патриотизм, чей бы то ни был, доказывается не словом, а делом.","Patriotism, to whose it was, proved not by word but by deed.",Sun May 04 08:18:36 +0000 2014,427,2233,243,1243,2,1
Роман Агафонов,RomanAgafonovv,Moscow,"Москва, Россия",FALSE,ru,"Человек, а это в наше время редкость!","People, and it is a rarity in our time!",Sun May 04 10:31:27 +0000 2014,393,2452,379,835,1,1
Степан Сазонов,StepanSazono,Volgograd,Питер,FALSE,ru,"Только доблесть бессмертно живет, Ибо храбрые славны вовеки!","Only courage is immortal lives, For the brave glorious forever!",Sun May 04 12:03:24 +0000 2014,759,2204,202,529,2,1
Василич,VasilichVasili,Volgograd,Москва,FALSE,ru,"Попади только на чужбину, так начнешь уверять, что у нас свиньи жареные разгуливают.","Hit only in a foreign land, so you start to assert that we have a pig roast roam.",Sun May 04 14:12:42 +0000 2014,442,2495,192,938,2,1
Антон Ерофеенко,ErofeenkoAnton,Volgograd,Moscow,FALSE,ru,"Десантников бывших не бывает! Воин дяди Васи, события на Украине не одобряю!","Marines the former does not happen! Warrior Uncle Vasya, events in Ukraine do not approve!",Sun May 04 14:30:32 +0000 2014,419,2189,252,701,1,1
Алексей Соколов,Aleksey_Sokol_,Yerevan,Москва,FALSE,ru,"Член ВПП Единая Россия, , зам. председателя МГЕР МО Марьино","Member WFP United Russia, Deputy. Chairman Mher MO Marino",Mon May 05 09:35:10 +0000 2014,2853,337,1702,2669,4,1
Tracy Brooks,traceyhappymom,Eastern Time (US & Canada),"Washington, DC",FALSE,en,"Great thoughts speak only to the thoughtful mind, but great actions speak to all mankind.","Great thoughts speak only to the thoughtful mind, but great actions speak to all mankind.",Mon May 05 14:13:47 +0000 2014,3778,3696,3353,4655,21,1
Bruce Dublin,BrucieDublin,Eastern Time (US & Canada),USA,FALSE,en,,,Thu May 29 12:43:47 +0000 2014,1854,2161,1807,2995,23,1
Kathie,KathieMrr,Eastern Time (US & Canada),Atlanta,FALSE,en,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring","Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",Thu May 29 12:50:04 +0000 2014,2094,2970,3157,4267,22,1
Jasper Flynn,Jasper_Fly,Eastern Time (US & Canada),USA,FALSE,en,#hashtagwarrior and your mom knows it!,#hashtagwarrior and your mom knows it!,Thu May 29 16:57:09 +0000 2014,2416,1957,1782,3379,15,1
Eva Green,EvaGreen69,Eastern Time (US & Canada),USA,FALSE,en,"God comes 1st. My Daughters, & my husband retired Navy Vet, are the center of my world.. Serving the Lord for the rest of my life. TRUMP 2016!","God comes 1st. My Daughters, & my husband retired Navy Vet, are the center of my world.. Serving the Lord for the rest of my life. TRUMP 2016!",Thu May 29 23:40:26 +0000 2014,1325,2668,2884,1831,46,1
Роман Горолов,romanGorolov,Moscow,Чита,FALSE,ru,Работаю в Государственной ветеринарной службе Забайкальского края. Вижу Россию сильной страной,I work in the State Veterinary Service of the Trans-Baikal Territory. I can see Russia strong country,Wed May 07 14:14:55 +0000 2014,876,2452,119,1080,2,1
F.R.I.E.N.D.S,6Druz,Moscow,,FALSE,ru,"Если я стану похож на своих родителей, то либо стану блондинкой-алкоголичкой, которая гоняется за двадцатилетними парнями, либо буду, как моя мама.","If I become similar to their parents, or become alcoholic blonde who chases guys in their twenties, or be like my mother.",Thu May 08 09:32:12 +0000 2014,2751,70,11,2024,0,1
Paola Kinck,PaolaKinck,Eastern Time (US & Canada),USA,FALSE,en,"stand 4 conservatism, patriotism & optimism: Don't Take My Lemonade Stand & Obama 2012 Slogans.Protect our Kids! #WakeUpAmerica","stand 4 conservatism, patriotism & optimism: Don't Take My Lemonade Stand & Obama 2012 Slogans.Protect our Kids! #WakeUpAmerica",Fri May 30 14:14:48 +0000 2014,2082,2145,2956,3518,24,1
Hailey Romano,heyheyhailey,Eastern Time (US & Canada),Atlanta,FALSE,en,,,Fri May 30 14:34:05 +0000 2014,1542,1857,1539,2035,8,1
Caleb Paar,CalebPaar,Eastern Time (US & Canada),Atlanta,FALSE,en,,,Fri May 30 15:56:10 +0000 2014,1438,1374,1698,2983,12,1
Kendra,happkendrahappy,Eastern Time (US & Canada),New York,FALSE,en,"Stop trying to fix the POLICE; fix the GHETTO! 

#WakeUpAmerica #TCOT #PJNET #BlueLivesMatter","Stop trying to fix the POLICE; fix the GHETTO! 

#WakeUpAmerica #TCOT #PJNET #BlueLivesMatter",Fri May 30 20:55:46 +0000 2014,2301,1688,1307,2746,32,1
Danny,dannythehappies,Eastern Time (US & Canada),"Atlanta, Georgia",FALSE,en,You know you're in love when you can't fall asleep because reality is finally better than your dreams,You know you're in love when you can't fall asleep because reality is finally better than your dreams,Sat May 31 00:27:24 +0000 2014,1405,1857,1548,2191,17,1
Колорад,Kolradskiy_Zhuk,Moscow,"Барнаул, Россия",FALSE,ru,Люблю Россию и ничего не могу с собой поделать,I love Russia and I can not help myself,Fri May 09 19:02:53 +0000 2014,1061,2412,106,795,4,1
Прынцесса,sovasof,Volgograd,,FALSE,ru,"нельзя выбросить человека из головы.
а из окна - можно.","you can not throw a man out of his head.
and out of the window - it is possible.",Sat May 10 12:05:13 +0000 2014,843,168,151,1158,1,1
Chris,holycrapchrix,Eastern Time (US & Canada),"Atlanta, GA",FALSE,en,Addicted to #hashtag #games,Addicted to #hashtag #games,Mon Jun 02 02:03:39 +0000 2014,2768,2456,2134,4237,34,1
Stanley Cox,Stanley_Cox_,Central Time (US & Canada),USA,FALSE,en,"christian, pro life,conservative,strong supporter of Israel. Constitutionalist, #2A supporter","christian, pro life,conservative,strong supporter of Israel. Constitutionalist, #2A supporter",Sun May 11 10:33:38 +0000 2014,930,2508,2859,1410,27,1
Toby Kress,heyits_toby,Eastern Time (US & Canada),US,FALSE,en,"Guardian of the Animals, Conservative, DIY'er, ninja #tcot","Guardian of the Animals, Conservative, DIY'er, ninja #tcot",Mon Jun 02 06:34:52 +0000 2014,1011,1424,1676,1396,10,1
Ленка Воропаева,GvardeykaLena,Moscow,Санкт-Петербург,FALSE,ru,Вступай в #МолодаяГвардия,Join the # MolodayaGvardiya,Sun May 11 15:53:17 +0000 2014,312,2160,50,549,1,1
Eric Roberts,mr_clampin,Eastern Time (US & Canada),Atlanta,FALSE,en,,,Mon Jun 02 18:05:55 +0000 2014,2403,2011,1770,3777,13,1
Chicago Daily News,ChicagoDailyNew,Central Time (US & Canada),"Chicago, IL",FALSE,en,"Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7","Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",Wed May 14 10:48:50 +0000 2014,10,19525,7063,39293,214,1
More,MsM0re,Volgograd,,FALSE,ru,Об твое сердце мог бы разбиться даже Титаник.,On your heart would break even the Titanic.,Wed May 14 15:09:05 +0000 2014,1980,126,145,1083,1,1
Алексей Владимиров,AlexsVladimirov,Volgograd,Москва,FALSE,ru,,,Thu May 22 18:47:02 +0000 2014,1679,2211,71,620,0,1
Олег Лапин,LapinOlegg,Volgograd,"Москва, Россия",FALSE,ru,Любовь к родине — первое достоинство цивилизованного человека.,Love of country - the first virtue of civilized man.,Fri May 23 05:39:16 +0000 2014,307,83,129,432,3,1
Статский Советник,SovetnikStatski,Volgograd,Москва,FALSE,ru,"Говорунов много, а бойцов, на всю Россию — я и эти трое!","Many talkers and fighters, the whole of Russia - I and these three!",Sun May 25 10:39:05 +0000 2014,772,2147,373,978,2,1
Сергей Брянцев,Sergbriantsev,Yerevan,Москва,FALSE,ru,"Только одно отечество заключает в себе то, что дорого всем.",Only one country encompasses what is dear to all.,Wed May 28 12:37:40 +0000 2014,748,51,3,1280,0,1
Lora Green,LoraGreeen,Eastern Time (US & Canada),New - York,FALSE,en,Be the change that you wish to see in the world,Be the change that you wish to see in the world,Wed May 28 16:02:11 +0000 2014,3676,4009,3363,5867,32,1
Memphis Online,OnlineMemphis,Central Time (US & Canada),"Memphis, TN",FALSE,en,"Breaking news, weather, traffic and more for Memphis and Tennessee. DM us anytime. RTs not endorsements","Breaking news, weather, traffic and more for Memphis and Tennessee. DM us anytime. RTs not endorsements",Thu May 29 01:01:16 +0000 2014,3,18704,5751,4223,113,1
Aiden Ramsey,Aiden7757,Eastern Time (US & Canada),USA,FALSE,en,"In order to succeed, your desire for success should be greater than your fear of failure.","In order to succeed, your desire for success should be greater than your fear of failure.",Thu May 29 09:58:50 +0000 2014,1711,1794,1527,2284,17,1
Politweecs,Politweecs,Central Time (US & Canada),United States,FALSE,en,Tweets and politics,Tweets and politics,Thu May 29 16:09:26 +0000 2014,51,32846,25600,559,117,1
Моно,shapka_mono,Volgograd,,FALSE,ru,Ясно - и конец диалогу,It is clear - and the end of the dialogue,Mon Jun 16 17:49:33 +0000 2014,1331,102,497,935,1,1
Detroit Daily News,DetroitDailyNew,Central Time (US & Canada),"Detroit, Michigan",FALSE,en,"Local news, sports, business, politics, entertainment, travel and opinion for Detroit. DM us 24/7","Local news, sports, business, politics, entertainment, travel and opinion for Detroit. DM us 24/7",Fri May 30 07:24:00 +0000 2014,4,18617,5144,18924,193,1
Anthony Porter,toneporter,Central Time (US & Canada),USA,FALSE,en,,,Fri May 30 09:13:02 +0000 2014,1367,1545,1408,2196,10,1
Leroy Barton,LeroyLovesUSA,Eastern Time (US & Canada),USA,FALSE,en,"Conservative #tcot #pjnet ReTweets ≠ Endorsement
#GodBlessAmerica","Conservative #tcot #pjnet ReTweets ≠ Endorsement
#GodBlessAmerica",Fri May 30 09:52:16 +0000 2014,976,1545,1321,1501,9,1
Justin,hipppo_,Eastern Time (US & Canada),US,FALSE,en,Striving for excellence motivates you; striving for perfection is demoralizing,Striving for excellence motivates you; striving for perfection is demoralizing,Fri May 30 10:41:42 +0000 2014,1520,1969,1855,2148,9,1
